GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,com.in.fmc.userservice.services,LoginAndRegisterServiceImpl,0,67,0,4,0,15,0,5,0,3
user-service,com.in.fmc.userservice.logging,LoggingAspect,67,0,0,0,10,0,5,0,5,0
user-service,com.in.fmc.userservice.logging,JointPointConfig,15,0,0,0,6,0,4,0,4,0
user-service,com.in.fmc.userservice.controllers,LoginAndRegisterController,33,0,0,0,7,0,4,0,4,0
user-service,com.in.fmc.userservice.exceptionhandler,CustomExceptionHandler,110,0,0,0,20,0,7,0,7,0
user-service,com.in.fmc.userservice.entities,Register,16,22,0,0,4,3,5,6,5,6
user-service,com.in.fmc.userservice.entities,Login,10,21,0,0,2,4,3,6,3,6
user-service,com.in.fmc.userservice.dtos,RegistrationDto,288,0,46,0,15,0,39,0,16,0
user-service,com.in.fmc.userservice.dtos,LoginDto,140,0,22,0,7,0,21,0,10,0
user-service,com.in.fmc.userservice.exceptions,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
user-service,com.in.fmc.userservice.exceptions,UsernameOccupiedException,0,4,0,0,0,2,0,1,0,1
user-service,com.in.fmc.userservice.models,ErrorResponse,86,0,14,0,3,0,14,0,7,0
user-service,com.in.fmc.userservice.models,ErrorResource,270,0,46,0,7,0,38,0,15,0
user-service,com.in.fmc.userservice.utils,Utils,3,8,0,0,1,2,1,1,1,1
user-service,com.in.fmc.userservice,UserServiceApplication,15,0,0,0,5,0,3,0,3,0
